File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\controller\AdminController.java,233,183,134,17,24,0,26,100,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\controller\FileController.java,125,73,55,3,19,0,33,128,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\controller\FileDirectory.java,32,20,14,2,8,0,4,7,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\controller\LoginController.java,62,47,35,5,9,0,6,15,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\controller\MemberController.java,83,57,41,7,10,0,16,32,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\controller\MotelController.java,346,259,194,28,21,0,66,301,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\controller\SearchController.java,102,84,63,6,9,0,9,34,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\dao\CommentDao.java,42,33,20,2,9,0,0,0,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\dao\FileMetaDao.java,36,22,16,1,10,0,4,7,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\dao\HinhDao.java,56,45,29,3,11,0,0,0,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\dao\LoaiDao.java,31,24,16,3,7,0,0,0,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\dao\LoaiPhongDao.java,41,32,19,2,9,0,0,0,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\dao\NhatroDao.java,198,164,99,23,20,0,14,45,0,0
C:\Users\luong_000\Documents\GitHub\NienLuan4\ThongTinNhaTro\src\main\java\vn\com\nhatro\dao\ThichDao.java,55,45,27,5,10,0,0,0,0,0
